timestamp,source_ip,dest_ip,port,protocol,bytes_sent,bytes_received,status,username,message
2026-03-24 10:00:01,192.168.1.5,10.0.0.50,443,TCP,1200,800,success,jsmith,"User login successful"
2026-03-24 10:05:12,45.33.2.14,10.0.0.50,22,TCP,45,0,failed,root,"Failed SSH login attempt"
2026-03-24 10:05:13,45.33.2.14,10.0.0.50,22,TCP,45,0,failed,root,"Failed SSH login attempt"
2026-03-24 10:05:14,45.33.2.14,10.0.0.50,22,TCP,45,0,failed,root,"Failed SSH login attempt"
2026-03-24 10:05:15,45.33.2.14,10.0.0.50,22,TCP,45,0,failed,root,"Failed SSH login attempt"
2026-03-24 10:10:00,192.168.1.12,10.0.0.50,80,TCP,450,12000,success,anon,"GET /search?q=' OR 1=1 --"
2026-03-24 10:10:05,192.168.1.12,10.0.0.50,80,TCP,460,12500,success,anon,"POST /login data=username=admin&pw=' UNION SELECT NULL--"
2026-03-24 10:15:20,10.0.0.50,185.22.4.1,8080,TCP,150,150,success,system,"C2 Beacon outbound connection"
2026-03-24 10:15:30,10.0.0.50,185.22.4.1,8080,TCP,152,148,success,system,"C2 Beacon outbound connection"
2026-03-24 10:20:45,88.192.1.4,10.0.0.50,445,TCP,0,0,refused,unknown,"Port scan probe"
2026-03-24 10:20:46,88.192.1.4,10.0.0.50,139,TCP,0,0,refused,unknown,"Port scan probe"
2026-03-24 10:20:47,88.192.1.4,10.0.0.50,21,TCP,0,0,refused,unknown,"Port scan probe"
2026-03-24 10:30:10,192.168.1.5,10.0.0.100,22,TCP,8500000,500,success,jsmith,"Large data transfer outbound"
