timestamp,source_ip,dest_ip,event_type,status_code,bytes_sent,username,failed_logins,port,protocol,message
2025-06-10 14:32:11,192.168.1.105,10.0.0.1,auth_failure,401,0,admin,47,22,TCP,Failed SSH login attempt
2025-06-10 14:32:12,192.168.1.105,10.0.0.1,auth_failure,401,0,admin,48,22,TCP,Failed SSH login attempt
2025-06-10 14:32:13,192.168.1.105,10.0.0.1,auth_failure,401,0,root,49,22,TCP,Failed SSH login attempt
2025-06-10 14:32:14,192.168.1.105,10.0.0.1,auth_failure,401,0,admin,50,22,TCP,Failed SSH login attempt
2025-06-10 14:32:15,192.168.1.105,10.0.0.1,auth_failure,401,0,admin,51,22,TCP,Failed SSH login attempt
2025-06-10 14:28:43,10.0.0.55,10.0.0.1,port_scan,0,0,,0,1024,TCP,Port scan detected nmap SYN scan
2025-06-10 14:28:44,10.0.0.55,10.0.0.1,port_scan,0,0,,0,8080,TCP,Port scan detected
2025-06-10 14:28:45,10.0.0.55,10.0.0.1,port_scan,0,0,,0,3306,TCP,Port scan detected mysql
2025-06-10 14:28:46,10.0.0.55,10.0.0.1,port_scan,0,0,,0,5432,TCP,Port scan detected postgres
2025-06-10 14:28:47,10.0.0.55,10.0.0.1,port_scan,0,0,,0,6379,TCP,Port scan detected redis
2025-06-10 14:15:07,203.0.113.44,10.0.0.2,web_request,200,4200,guest,0,443,HTTPS,POST /api/login UNION SELECT username password FROM users
2025-06-10 14:15:08,203.0.113.44,10.0.0.2,web_request,200,3800,guest,0,443,HTTPS,GET /api/users?id=1 OR 1=1
2025-06-10 14:15:09,203.0.113.44,10.0.0.2,web_request,500,0,guest,0,443,HTTPS,POST /search DROP TABLE users
2025-06-10 14:15:10,203.0.113.44,10.0.0.2,web_request,200,2100,guest,0,443,HTTPS,GET /api/data UNION SELECT * FROM admin
2025-06-10 13:52:29,198.51.100.22,10.0.0.1,dns_query,0,0,,0,53,UDP,Suspicious DNS query high entropy subdomain abc123xyz.evilc2.xyz
2025-06-10 13:52:30,198.51.100.22,10.0.0.1,dns_query,0,0,,0,53,UDP,Suspicious DNS query def456uvw.evilc2.xyz
2025-06-10 13:52:31,198.51.100.22,10.0.0.1,dns_query,0,0,,0,53,UDP,C2 beacon DNS tunneling detected ghi789rst.evilc2.xyz
2025-06-10 03:44:01,172.16.0.88,8.8.8.8,data_transfer,200,520000,,0,443,HTTPS,Large outbound transfer at 03:44 AM unusual hours
2025-06-10 03:45:00,172.16.0.88,8.8.8.8,data_transfer,200,620000,,0,443,HTTPS,Continued large transfer off hours
2025-06-10 03:46:00,172.16.0.88,104.21.0.1,data_transfer,200,780000,,0,443,HTTPS,Data exfiltration suspected off hours large bytes
2025-06-10 13:10:55,45.33.32.156,10.0.0.3,auth_failure,401,0,admin,28,3389,TCP,RDP brute force attempt known malicious IP
2025-06-10 13:11:00,45.33.32.156,10.0.0.3,auth_failure,401,0,administrator,30,3389,TCP,RDP brute force continued
2025-06-10 13:11:05,45.33.32.156,10.0.0.3,auth_failure,401,0,admin,32,3389,TCP,RDP brute force multiple accounts
2025-06-10 12:00:01,10.0.1.1,10.0.0.1,normal,200,1024,user1,0,80,HTTP,Normal web request
2025-06-10 12:00:02,10.0.1.2,10.0.0.1,normal,200,2048,user2,0,80,HTTP,Normal web request
2025-06-10 12:00:03,10.0.1.3,10.0.0.1,normal,200,512,user3,0,443,HTTPS,Normal web request
2025-06-10 12:00:04,10.0.1.4,10.0.0.1,normal,200,768,user4,0,443,HTTPS,Normal web request
2025-06-10 12:00:05,10.0.1.5,10.0.0.1,normal,200,1100,user5,0,80,HTTP,Normal web request
2025-06-10 12:00:06,10.0.1.6,10.0.0.1,normal,200,900,user6,0,80,HTTP,Normal web request
2025-06-10 12:00:07,10.0.1.7,10.0.0.1,normal,200,1300,user7,0,443,HTTPS,Normal web request
2025-06-10 12:00:08,10.0.1.8,10.0.0.1,normal,200,800,user8,0,80,HTTP,Normal web request
2025-06-10 12:00:09,10.0.1.9,10.0.0.1,normal,200,650,user9,0,443,HTTPS,Normal web request
2025-06-10 12:00:10,10.0.1.10,10.0.0.1,normal,200,1200,user10,0,80,HTTP,Normal web request
2025-06-10 12:01:00,10.0.2.1,10.0.0.1,normal,200,500,user11,0,80,HTTP,Normal web request
2025-06-10 12:01:01,10.0.2.2,10.0.0.1,normal,200,750,user12,0,443,HTTPS,Normal web request
2025-06-10 12:01:02,10.0.2.3,10.0.0.1,normal,200,420,user13,0,80,HTTP,Normal web request
2025-06-10 12:01:03,10.0.2.4,10.0.0.1,normal,200,880,user14,0,443,HTTPS,Normal web request
2025-06-10 12:01:04,10.0.2.5,10.0.0.1,normal,200,1050,user15,0,80,HTTP,Normal web request
